Patate	 500 g 
Pisellini	 300 g 
Carote	 200 g 
Cetriolini sottaceto	 50 g 
Uova	 2 
Olio extravergine d'oliva	 30 g 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Tuorli	 a temperatura ambiente 2 
Olio di semi di girasole	 200 g 
Succo di limone	 25 g 
Aceto di vino bianco	 10 g 
Sale fino	 q.b. 
Pepe nero	 q.b. 
