Macinato di manzo	 600 
Macinato di maiale	 400 g 
Uova	 1 
Grana Padano DOP	 (da grattugiare) 150 g 
Timo	 4 rametti 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Provolone	 a fette 150 g 
Prosciutto cotto	 a fette 150 g 
Cavoletti di Bruxelles	 500 g 
Aglio	 2 spicchi 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Timo	 4 rametti 
Olio extravergine d'oliva	 q.b. 
