Patate	 350 g 
Carote	 160 g 
Pisellini	 160 g 
Zucchine	 150 g 
Cipolle ramate	 ½ 
Parmigiano Reggiano DOP	 da grattugiare 100 g 
Uova	 (1 medio) 55 g 
Aglio	 1 spicchio 
Prezzemolo	 1 ciuffo 
Olio extravergine d'oliva	 q.b. 
Noce moscata	 q.b. 
Pepe nero	 q.b. 
Sale fino	 q.b. 
Uova	 q.b. 
Pangrattato	 q.b. 
Olio di semi di arachide	 q.b. 
