ingredient	quantity
Farina 00	300 g
Uova	3
Carciofi	8
Ricotta vaccina	160 g
Maggiorana	1 rametto
Timo	1 rametto
Olio extravergine d'oliva	4 cucchiai
Grana Padano DOP da grattugiare	60 g
Cipolle piccola	1
Aglio	1 spicchio
Vino	1/2
Sale fino	q.b.
Pepe nero	q.b.
Burro	150 g
Timo	4 rametti
Grana Padano DOP da grattugiare	80 g
