Casarecce pasta	 11 oz (320 g) 
Caciocavallo cheese	 7 oz (200 g) 
Pizzutelli tomatoes	 1 lb (450 g) 
Taggiasca olives	 1.6 oz (50 g) 
Basil	 0.5 oz (15 g) 
Ricotta di bufala cheese	 1 cup (200 g) 
Extra virgin olive oil	 2 ½ tbsp (30 g) 
Parmigiano Reggiano PDO cheese	 2 tbsp 
Sardinian camone tomato	 0.5 lb (220 g) 
Fine salt	 to taste 
Black pepper	 to taste 
