Flour 00	 1 cup (130 g) 
Water	 2 tbsp (30 ml) 
Vegetable oil	 1 tbsp (9 g) 
Eggs	 1 (54 g) 
Salt	 1 pinch 
Golden delicious apples	 1.66 lbs (750 g) 
Sugar	 ⅓ cup (60 g) 
Breadcrumbs	 ½ cup (60 g) 
Butter	 3 tbsp (50 g) 
Raisins	 ¼ cup (50 g) 
Pine nuts	 ¼ cup (25 g) 
Cinnamon powder	 1 pinch 
Rum 	 2 tbsp 
Lemon peel	 1 
Powdered sugar	 to taste 
