Petto di pollo	 in filetti 600 g 
Olive verdi	 denocciolate 30 g 
Cetriolini sottaceto	 60 g 
Peperoni rossi	 200 g 
Sedano bianco	 170 g 
Carote	 150 g 
Groviera	 (o Edamer) 100 g 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Senape	 delicata 15 g 
Sale fino	 q.b. 
Aceto di vino bianco	 20 g 
Olio extravergine d'oliva	 100 g 
Maionese	 120 g 
