ingredient	quantity
Sciroppo di fiori di sambuco	170 g
Uova (circa 4 )	235 g
Zucchero a temperatura ambiente	70 g
Latte intero	20 g
Burro fuso	60 g
Farina 00	165 g
Lievito in polvere per dolci	16 g
Sciroppo di fiori di sambuco	90 g
Formaggio fresco spalmabile	200 g
Zucchero a velo	60 g
Burro plastico	60 g
Menta	q.b.
Fiori di lavanda	q.b.
