ingredient	quantity
Farina Manitoba	180 g
Latte intero a temperatura ambiente	75 g
Basilico	50 g
Tuorli (1 medio)	18 g
Olio extravergine d'oliva	15 g
Zucchero	10 g
Sale fino	3 g
Lievito di birra secco	1 g
Farina Manitoba	180 g
Latte intero a temperatura ambiente	75 g
Triplo concentrato di pomodoro	50 g
Tuorli (1 medio)	18 g
Olio extravergine d'oliva	15 g
Zucchero	10 g
Sale fino	3 g
Lievito di birra secco	1 g
Farina Manitoba	180 g
Latte intero a temperatura ambiente	85 g
Tuorli (1 medio)	18 g
Zucchero	10 g
Sale fino	3 g
Lievito di birra secco	1 g
Provola	120 g
Prosciutto cotto	120 g
Albumi	1
Olio extravergine d'oliva	10 g
