ingredient	quantity
Uova	3
Latte intero	500 g
Farina 00	250 g
Burro per ungere la padella	q.b.
Manzo macinato	400
Maiale macinato	300 g
Sedano	1 costa
Carote	1
Cipolle bianche	1
Sale fino	q.b.
Pepe nero	q.b.
Olio extravergine d'oliva	30 g
Passata di pomodoro	300 g
Acqua	1 l
Piselli precotti	250 g
Scamorza affumicata	150 g
Vino bianco	50 g
Burro	100 g
Farina 00	100 g
Sale fino	q.b.
Noce moscata	q.b.
Latte intero	1 l
Timo	q.b.
Pangrattato	3 cucchiai
Parmigiano Reggiano DOP da grattugiare	3 cucchiai
