ingredient	quantity
Farina Manitoba	150 g
Latte intero	100 g
Lievito di birra secco	2 g
Farina 0	400 g
Latte intero	120 g
Burro	80 g
Zucchero	40 g
Uova (medio)	1
Tuorli (di un uovo medio)	1
Lievito di birra secco	2 g
Sale fino	8 g
Malto	2 g
Formaggio fresco spalmabile	100 g
Panna fresca liquida	10 g
Sale fino	q.b.
Pepe nero	q.b.
Erba cipollina	15 g
Salmone affumicato	80 g
Asparagi	150 g
Robiola	100 g
Sale fino	q.b.
Pepe nero	q.b.
Caprino	160 g
Concentrato di pomodoro	10 g
Panna fresca liquida	20 g
Radicchio	40 g
Prosciutto cotto	100 g
Pepe nero	q.b.
Sale fino	q.b.
Gamberi	170 g
Erba cipollina	5 g
Salsa cocktail	80 g
