ingredient	quantity
Zucchero	120 g
Farina 00	120 g
Burro (a temperatura ambiente)	120 g
Sale fino	1 pizzico
Baccello di vaniglia	1
Uova	2
Lievito in polvere per dolci	3 g
Pasta di zucchero	200 g
Zucchero a velo	q.b.
Coloranti alimentari blu, giallo, rosso	q.b.
Matite alimentari brillanti	q.b.
Colla alimentare	q.b.
