Breadcrumbs	 ¼ cup (50 g) 
Powdered ginger	 ¼ tsp 
Puff pastry	 0.5 lb (230 g) - (1 rectangular sheet) 
Butter	 2 ¼ tbsp (40 g) 
Bartlett pears	 0.5 lb (350 g) 
Peeled almonds	 1 tsp (25 g) 
Dark chocolate	 ⅔ cup (75 g) 
Cinnamon powder	 1 tsp 
Brown sugar	 2 tbsp (30 g) 
Fresh liquid cream	 to taste 
Brown sugar	 to taste 
