ingredient	quantity
Burro a temperatura ambiente	150 g
Zucchero	375 g
Uova	120 g
Sale fino	5 g
Baccello di vaniglia	1
Coloranti alimentari rosso liquido	30 g
Cacao amaro in polvere	50 g
Yogurt bianco naturale intero	300 g
Farina 00	375 g
Lievito in polvere per dolci	10 g
Aceto di vino bianco	30 g
Formaggio fresco cremoso, a temperatura ambiente	525 g
Burro a temperatura ambiente	150 g
Zucchero a velo	300 g
Scorza di limone non trattata	1
Lamponi	q.b.
Oro alimentare 24 K, in foglie	q.b.
Meringhe (piccole)	q.b.
