ingredient	quantity
Farina 00	300 g
Uova	3
Passata di pomodoro	250 g
Olio extravergine d'oliva	3 cucchiai
Aglio	1 spicchio
Sale fino	q.b.
Latte intero	250 g
Burro	25 g
Farina 00	25 g
Noce moscata grattugiata	q.b.
Sale fino	1 pizzico
Pepe nero nero macinato	1 pizzico
Salsiccia	200 g
Carne bovina trita	300 g
Uova medie	2
Parmigiano Reggiano DOP da grattugiare	100 g
Olio extravergine d'oliva	10 g
Cipolle	80 g
Sedano	60 g
Carote	80 g
Vino rosso	20 g
Sale fino	1 pizzico
Pepe nero	1 pizzico
Parmigiano Reggiano DOP da grattugiare	15 g
