ingredient	quantity
Burro a temperatura ambiente	120 g
Zucchero	120 g
Farina 00	40 g
Frumina	40 g
Cacao amaro in polvere	16 g
Uova medie	2
Lievito in polvere per dolci	4 g
Sale fino	q.b.
Cialde	8
Cioccolato bianco	250 g
Panna fresca liquida bollente	100 ml
Zucchero	75 g
Farina 00	60 g
Frumina	60 g
Burro	60 g
Scorza di limone	½
Uova medio	1
Lievito in polvere per dolci	4 g
Baccello di vaniglia	½
Sale fino	1 pizzico
Coloranti alimentari rosso	q.b.
Pasta di zucchero	150 g
Coloranti alimentari giallo e blu	q.b.
