Wholegrain bow tie pasta	 0.75 lb (320 g) 
Cherry tomatoes	 0.66 lb (300 g) 
Fine salt	 to taste 
Extra virgin olive oil	 to taste 
Sugar	 1 tsp 
Arugula	 6.75 oz (190 g) 
Lemon juice	 1 
Extra virgin olive oil	 ½ cup (100 g) 
Pine nuts	 1.5 oz (40 g) 
Parmigiano Reggiano PDO cheese	 ⅓ cup (40 g) 
Fine salt	 to taste 
Almond flakes	 ¼ cup (25 g) 
Lemon peel	 to taste 
