ingredient	quantity
Farina 00	250 g
Farina Manitoba	250 g
Acqua	300 ml
Lievito di birra secco	4 g
Sale fino	12 g
Malto	1 cucchiaino
Olio extravergine d'oliva	30 g
Olio extravergine d'oliva	3 cucchiai
Lattuga iceberg	200 g
Pepe nero	q.b.
Cipolle bianche	1
Lonza di maiale	1 kg
Pomodori ramati	200 g
Patate fritte congelate	400 g
Cetrioli	1
Aceto di vino bianco	2 cucchiai
Aglio	4 spicchi
Aneto	3 rametti
Yogurt greco	400 g
Olio extravergine d'oliva	4 cucchiai
Sale fino	q.b.
