ingredient	quantity
Farina 00	150 g
Burro	180 g
Lievito in polvere per dolci	5 g
Zucchero	125 g
Uova medie 	3
Baccello di vaniglia	1
Caffè espresso 	6 cucchiai
Zucchero a velo	250 g
Caffè espresso 	10 cucchiai
Mascarpone	120 g
Zucchero a velo	60 g
Tuorli	2
Panna fresca liquida	120 ml
Cacao amaro in polvere	1 cucchiaino
Cioccolatini a forma di chicchi di caffè	24
Cioccolatini a forma di cucchiaini	12
