Eggs	 3 
Egg yolks	 1 
Honey	 1 tbsp (20 g) 
Sugar	 ½ cup (90 g) 
Flour 00	 ⅔ cup (80 g) 
Potato starch	 2 tbsp (20 g) 
Cinnamon powder	 1 pinch 
Nutmeg	 to taste 
Pumpkin	 0.5 lb (250 g) - (cooked purée) 
Cow's milk ricotta cheese	 1 ¾ cup (400 g) 
Powdered sugar	 ¾ cup (100 g) 
Orange peel	 1 
Chocolate drops	 2.5 oz (70 g) 
Unsweetened cocoa powder	 to taste 
