ingredient	quantity
Cous cous Semola Oro	320 g
Acqua	400 g
Maggiorana	3 rametti
Sale fino	q.b.
Pepe nero	q.b.
Paprika piccante	½ cucchiaino
Olio extravergine d'oliva	15 g
Grana Padano DOP (da grattugiare)	50 g
Pomodorini ciliegino	500 g
Olio extravergine d'oliva	40 g
Sale fino	q.b.
Zucchero	20 g
Timo	10 rametti
Origano	q.b.
Aglio	1 spicchio
Asparagi	1 kg
Olio extravergine d'oliva	q.b.
Timo	q.b.
Sale fino	q.b.
Pepe nero	q.b.
Stracchino	300 g
Grana Padano DOP (da grattugiare)	q.b.
Maggiorana	q.b.
Timo	q.b.
Olio extravergine d'oliva	q.b.
