ingredient	quantity
Zucca mantovana pulita	350 g
Yogurt greco 0% di grassi	200 g
Farina 00	280 g
Farina di nocciole	80 g
Olio di semi	200 ml
Zucchero	150 g
Uova (medie)	3
Lievito in polvere per dolci	16 g
Sale fino	q.b.
Zucchero	100 g
Panna fresca liquida (bollente)	50 ml
Sale fino	1 cucchiaino
Burro (freddo)	75 g
