ingredient	quantity
Costine di maiale	2 kg
Paprika dolce	1 cucchiaino
Peperoncino	1 cucchiaino
Aglio in polvere	1 cucchiaino
Senape gialla in polvere	1 cucchiaino
Cumino	1 cucchiaino
Sale fino	1 cucchiaino
Cipolle dorate	½
Aglio	1 spicchio
Zucchero di canna	10 g
Sciroppo di acero	90 g
Ketchup	250 g
Paprika piccante	1 cucchiaino
Paprika dolce	1 cucchiaino
Aceto di mele	2 cucchiaini
Senape	1 cucchiaino
Worcestershire sauce	2 cucchiaini
Pepe nero	½ cucchiaino
Sale fino	1 pizzico
Olio extravergine d'oliva	q.b.
