ingredient	quantity
Burro freddo	150 g
Farina 00	250 g
Spinaci freschi	150 g
Uova medio	1
Sale fino	2 pizzichi
Patate	600 g
Pomodorini ciliegino	300 g
Pisellini sgranati	230 g
Zucchine	530 g
Panna fresca liquida	250 g
Uova medie	3
Cipollotto fresco (circa 1)	60 g
Aglio	2 spicchi
Erba cipollina	3 fili
Olio extravergine d'oliva	40 g
Origano	1 pizzico
Noce moscata	1 pizzico
Sale fino	q.b.
Pepe nero	q.b.
