ingredient	quantity
Farina 00	100 g
Fecola di patate	20 g
Uova (circa 4 grandi)	250 g
Zucchero	120 g
Zucchero muscovado	10 g
Papaya (180 g di polpa)	1
Panna fresca liquida	425 g
Zucchero di canna	20 g
Amido di mais (maizena)	15 g
Baccello di vaniglia	1
Panna fresca liquida	250 g
Mango sodo	1
Cocco rapè	20 g
Latte di cocco	50 g
