Zucchine	 640 g 
Pane	 40 g 
Ricotta vaccina	 130 g 
Uova	 (1 medio) 50 g 
Grana Padano DOP	 grattugiato 20 g 
Pangrattato	 60 g 
Farina 00	 60 g 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Passata di pomodoro	 500 g 
Aglio	 1 spicchio 
Olio extravergine d'oliva	 q.b. 
Sale fino	 q.b. 
Mozzarella	 per pizza 100 g 
Basilico	 q.b. 
