ingredient	quantity
Uova (medie,  a temperatura ambiente)	5
Zucchero	150 g
Farina 00	75 g
Fecola di patate	75 g
Sale	1 pizzico
Panna fresca liquida	100 g
Latte intero	150 g
Amido di mais (maizena)	25 g
Zucchero	60 g
Cioccolato fondente	50 g
Tuorli	60 g
Gelatina in fogli	5 g
Panna fresca liquida	75 g
Latte intero	175 g
Tuorli	60 g
Amido di mais (maizena)	25 g
Baccello di vaniglia	1
Zucchero	70 g
Gelatina in fogli	5 g
Albumi	220 g
Zucchero	180 g
Acqua	50 g
Acqua	150 g
Zucchero	80 g
Grand Marnier	50 g
Pasta Sfoglia (rotonda, diametro 22 cm)	120 g
Zucchero	100 g
Acqua	80 g
Panna fresca liquida	380 g
Zucchero a velo	25 g
Baccello di vaniglia	1
Bignè	8
Granella di nocciole	60 g
