Red potatoes	 2.25 lbs (1 kg) 
Flour 00	 2 ⅔ cups (300 g) 
Eggs	 1 - (medium) 
Fine salt	 to taste 
Semolina	 to taste 
Tomato puree	 2 ⅓ cups (600 g) 
Basil	 6 leaves 
Garlic	 1 clove 
Extra virgin olive oil	 to taste 
Fine salt	 to taste 
Mozzarella cheese	 0.5 lb (250 g) 
Parmigiano Reggiano PDO cheese	 ⅔ cup (70 g) 
