ingredient	quantity
Farina 00	250 g
Acqua (tiepida)	115 g
Sale fino	1 pizzico
Maiale macinato	250 g
Cavolo cappuccio (varietà cuore di bue)	80 g
Cipollotto fresco	30 g
Acqua	40 g
Vino di riso	10 g
Salsa di soia (chiara)	2 cucchiaini
Sale fino	q.b.
Pepe bianco (o nero)	q.b.
Cavolo cappuccio	1 foglia
