ingredient	quantity
Acqua	235 g
Farina 00	500 g
Zucchero	50 g
Sale fino	10 g
Lievito di birra secco	5 g
Strutto	50 g
Manzo macinato	200 g
Salsiccia	200 g
Carote	45 g
Cipolle bianche	45 g
Concentrato di pomodoro	140 g
Vino bianco	50 g
Pisellini	150 g
Acqua	100 g
Alloro	3 foglie
Olio extravergine d'oliva	30 g
Sale fino	q.b.
Pepe nero	q.b.
Latte intero	300 g
Burro	30 g
Farina 00	30 g
Sale fino	q.b.
Noce moscata (da grattugiare)	q.b.
Uova	3
Pangrattato	200 g
Olio di semi	700 g
