ingredient	quantity
Farina 00	400 g
Uova (circa 4 medie intere)	210 g
Sale fino	1 pizzico
Semola di grano duro rimacinata spolverizzare	q.b.
Gamberetti	200 g
Trota salmonata	150 g
Platessa	150 g
Olio extravergine d'oliva	50 g
Cipolle bianche	30 g
Carote	30 g
Sedano	30 g
Aglio	1 spicchio
Passata di pomodoro	400 g
Vino bianco secco	50 g
Timo	1 rametto
Sale fino	q.b.
Pepe nero	q.b.
Zucchero ¼	cucchiaino
