Farina 00	 250 g 
Zucchero	 30 g 
Strutto	 30 g 
Marsala	 50 g 
Uova	 medio 1 
Aceto di vino bianco	 10 g 
Sale fino	 1 pizzico 
Scorza d'arancia	 1 
Cannella in polvere	 2 g 
Ricotta di pecora	 1 kg 
Zucchero	 300 g 
Gocce di cioccolato fondente	 q.b. 
Tuorli	 q.b. 
Olio di semi	 1 l 
Zucchero a velo	 q.b. 
Granella di pistacchi	 q.b. 
Arancia candita	 q.b. 
