ingredient	quantity
Patate a pasta gialla	1,6 kg
Uova (medie)	2
Parmigiano Reggiano DOP (da grattugiare)	100 g
Noce moscata	q.b.
Sale fino	q.b.
Pepe nero	q.b.
Prosciutto cotto (a fette)	120 g
Ricotta vaccina	300 g
Basilico	4 foglie
Panna fresca liquida	60 g
Sale fino	q.b.
Pepe nero	q.b.
Porri	1
Farina 00	25 g
Latte intero	250 ml
Burro	25 g
Sale fino	q.b.
Carote	2
Cheddar	60 g
Pomodorini ciliegino	9
Zucchine (media)	1
Succo di limone	½
Menta	2 foglie
Basilico	2 foglie
Olio extravergine d'oliva	q.b.
Sale fino	q.b.
