Farina Manitoba	 300 g 
Burro	 (freddo di frigo) 90 g 
Zucchero	 25 g 
Uova	 (medie, fredde di frigo) 3 
Lievito di birra fresco	 12 g 
Sale fino	 6 g 
Uova	 (medie, congelate il giorno prima) 3 
Acqua	 300 g 
Zucchero	 240 g 
Rum	 (a 70°) 60 g 
Acqua	 1 l 
Zucchero	 500 g 
Rum	 (a 70°) 100 g 
Scorza di limone	 ½ 
Scorza d'arancia	 ½ 
